"times","A_flux","B_flux","AB_flux","inert_flux","A_concentration","B_concentration","AB_concentration","AZ_concentration","BZ_concentration","Z_concentration","A_rate","B_rate","AB_rate","AZ_rate","BZ_rate","Z_rate"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,1e-05,1e-05,0,0,0,0,1e-05,0,0,1e-05,0,-1e-05
0.005,0,0,0,0,0.00014,0.00014,0,0,0,0,7e-05,0,0,0.00014,0,-0.00014
0.006,0,0,0,0,7e-04,0.00071,0,0,0,0,0.00035,0,0,7e-04,0,-7e-04
0.007,0,0,0,0,0.00236,0.0024,0,0,0,0,0.00118,0,0,0.00236,0,-0.00236
0.008,0,0,0,0,0.00604,0.00614,0,1e-05,0,-1e-05,0.00302,0,0,0.00604,0,-0.00604
0.009,0,0,0,0,0.01268,0.01292,0,1e-05,0,-1e-05,0.00634,0,0,0.01268,0,-0.01268
0.01,0,0,0,0,0.02309,0.02356,0,3e-05,0,-3e-05,0.01155,0,0,0.02309,0,-0.02309
0.011,0,0,0,0,0.03778,0.03861,0,6e-05,0,-6e-05,0.0189,0,0,0.03779,0,-0.03779
0.012,0,0,0,0,0.05698,0.05832,0,0.00011,0,-0.00011,0.0285,1e-05,-1e-05,0.057,0,-0.057
0.013,0,0,0,0,0.08063,0.08266,0,0.00018,0,-0.00018,0.04034,1e-05,-1e-05,0.08067,0,-0.08067
0.014,1e-05,1e-05,0,1e-05,0.10847,0.11138,0,0.00027,0,-0.00027,0.05429,3e-05,-3e-05,0.10856,0,-0.10856
0.015,4e-05,4e-05,0,4e-05,0.14009,0.14408,0,4e-04,0,-4e-04,0.07016,6e-05,-6e-05,0.14026,0,-0.14026
0.016,8e-05,8e-05,0,8e-05,0.17501,0.18028,0,0.00055,0,-0.00055,0.0877,1e-04,-1e-04,0.1753,0,-0.1753
0.017,0.00017,0.00017,0,0.00017,0.2127,0.21944,1e-05,0.00075,0,-0.00075,0.10667,0.00016,-0.00016,0.21318,0,-0.21318
0.018,0.00032,0.00033,0,0.00033,0.25264,0.26106,1e-05,0.00098,0,-0.00098,0.12682,0.00026,-0.00026,0.25338,0,-0.25338
0.019,0.00058,6e-04,0,6e-04,0.29432,0.3046,2e-05,0.00126,0,-0.00126,0.1479,0.00038,-0.00038,0.29542,0,-0.29542
0.02,0.00099,0.00101,0,0.00101,0.33728,0.3496,3e-05,0.00157,0,-0.00157,0.1697,0.00055,-0.00055,0.33886,0,-0.33886
0.021,0.0016,0.00164,0,0.00164,0.3811,0.39563,4e-05,0.00193,0,-0.00193,0.19203,0.00076,-0.00076,0.38329,0,-0.38329
0.022,0.00248,0.00254,0,0.00254,0.42541,0.4423,6e-05,0.00234,0,-0.00234,0.2147,0.00103,-0.00103,0.42836,0,-0.42836
0.023,0.00368,0.00378,0,0.00378,0.46987,0.48928,8e-05,0.00279,0,-0.00279,0.23757,0.00137,-0.00137,0.47377,0,-0.47377
0.024,0.0053,0.00544,0,0.00544,0.51422,0.53627,1e-04,0.00329,0,-0.00329,0.2605,0.00176,-0.00176,0.51924,0,-0.51924
0.025,0.0074,0.0076,0,0.0076,0.55822,0.58304,0.00014,0.00383,0,-0.00383,0.2834,0.00223,-0.00223,0.56457,0,-0.56457
0.026,0.01006,0.01034,0,0.01034,0.60167,0.62937,0.00018,0.00442,0,-0.00442,0.30617,0.00278,-0.00278,0.60956,0,-0.60956
0.027,0.01335,0.01373,0,0.01373,0.6444,0.67509,0.00022,0.00505,0,-0.00505,0.32874,0.00341,-0.00341,0.65407,0,-0.65407
0.028,0.01735,0.01786,0,0.01786,0.68629,0.72005,0.00028,0.00572,0,-0.00572,0.35105,0.00412,-0.00412,0.69797,0,-0.69797
0.029,0.02211,0.02279,0,0.02279,0.72723,0.76415,0.00034,0.00644,0,-0.00644,0.37305,0.00492,-0.00492,0.74117,0,-0.74117
0.03,0.02771,0.02858,0,0.02858,0.76714,0.80728,0.00041,0.00721,0,-0.00721,0.3947,0.00582,-0.00582,0.78359,0,-0.78359
0.031,0.03417,0.03528,0,0.03529,0.80595,0.84939,5e-04,0.00801,0,-0.00801,0.41599,0.0068,-0.0068,0.82518,0,-0.82518
0.032,0.04156,0.04295,0,0.04295,0.84362,0.89041,0.00059,0.00886,0,-0.00886,0.43688,0.00789,-0.00789,0.86588,0,-0.86588
0.033,0.04989,0.05161,0,0.05162,0.88012,0.93031,7e-04,0.00974,0,-0.00974,0.45737,0.00906,-0.00906,0.90568,0,-0.90568
