times,A_flux,inert_flux,A_concentration,AZ_concentration,A_rate,AZ_rate,A_uptake
0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0
0.004,0,0,1.00E-05,0,2.00E-05,2.00E-05,0
0.005,0,0,0.00013,0,0.00015,0.00015,0
0.006,0,0,0.00068,0,0.00079,0.00079,0
0.007,0,0,0.00231,0,0.00266,0.00266,0
0.008,0,0,0.00591,1.00E-05,0.00679,0.00679,1.00E-05
0.009,0,0,0.01238,2.00E-05,0.01424,0.01424,2.00E-05
0.01,0,0,0.0225,4.00E-05,0.02587,0.02587,5.00E-05
0.011,0,0,0.03674,7.00E-05,0.04225,0.04225,9.00E-05
0.012,0,0,0.05529,0.00012,0.06358,0.06358,0.00016
0.013,0,0,0.07809,2.00E-04,0.08979,0.08979,0.00025
0.014,1.00E-05,1.00E-05,0.10485,3.00E-04,0.12054,0.12054,0.00037
0.015,3.00E-05,4.00E-05,0.13515,0.00044,0.15535,0.15535,0.00052
0.016,8.00E-05,8.00E-05,0.16851,0.00062,0.19367,0.19367,0.00072
0.017,0.00016,0.00017,0.20441,0.00083,0.23488,0.23488,0.00095
0.018,0.00032,0.00033,0.24233,0.00109,0.27838,0.27838,0.00123
0.019,0.00057,6.00E-04,0.28179,0.00139,0.32361,0.32361,0.00155
0.02,0.00096,0.00101,0.32233,0.00173,0.37004,0.37004,0.00192
0.021,0.00156,0.00164,0.36355,0.00213,0.41719,0.41719,0.00234
0.022,0.0024,0.00254,0.40509,0.00257,0.46466,0.46466,0.0028
0.023,0.00357,0.00378,0.44665,0.00306,0.51208,0.51208,0.00332
0.024,0.00513,0.00544,0.48797,0.00359,0.55915,0.55915,0.00387
0.025,0.00715,0.0076,0.52883,0.00417,0.60562,0.60562,0.00448
0.026,0.00971,0.01034,0.56905,0.0048,0.65126,0.65126,0.00513
0.027,0.01288,0.01373,0.60848,0.00548,0.69592,0.69592,0.00583
0.028,0.01671,0.01786,0.647,0.00619,0.73944,0.73944,0.00657
0.029,0.02128,0.02279,0.68453,0.00696,0.78174,0.78174,0.00735
0.03,0.02663,0.02858,0.721,0.00776,0.82271,0.82271,0.00817
0.031,0.03282,0.03529,0.75634,0.0086,0.86232,0.86232,0.00903
0.032,0.03986,0.04295,0.79054,0.00948,0.9005,0.9005,0.00993
0.033,0.0478,0.05162,0.82357,0.0104,0.93726,0.93726,0.01087
0.034,0.05665,0.0613,0.85542,0.01136,0.97256,0.97256,0.01184
0.035,0.06642,0.07203,0.88608,0.01235,1.00642,1.00642,0.01285
0.036,0.07712,0.0838,0.91557,0.01337,1.03883,1.03883,0.01389
0.037,0.08872,0.09661,0.9439,0.01442,1.06983,1.06983,0.01496
0.038,0.10123,0.11046,0.97109,0.01551,1.09943,1.09943,0.01605
0.039,0.11461,0.12533,0.99715,0.01662,1.12767,1.12767,0.01718
0.04,0.12885,0.14119,1.02212,0.01776,1.15456,1.15456,0.01834
