"","times","A_flux","B_flux","AB_flux","inert_flux","A_concentration","B_concentration","AB_concentration","AZ_concentration","BZ_concentration","Z_concentration","A_rate","B_rate","AB_rate","AZ_rate","BZ_rate","Z_rate"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.004,0,0,0,0,1e-05,1e-05,0,0,0,0,1e-05,1e-05,0,1e-05,1e-05,-2e-05
"6",0.005,0,0,0,0,0.00014,0.00014,0,0,0,0,7e-05,8e-05,0,0.00014,8e-05,-0.00021
"7",0.006,0,0,0,0,7e-04,7e-04,0,0,0,0,0.00035,4e-04,0,7e-04,4e-04,-0.0011
"8",0.007,0,0,0,0,0.00236,0.00236,0,0,0,0,0.00118,0.00135,0,0.00236,0.00135,-0.00372
"9",0.008,0,0,0,0,0.00604,0.00602,0,1e-05,0,-1e-05,0.00302,0.00346,0,0.00604,0.00346,-0.0095
"10",0.009,0,0,0,0,0.01268,0.01265,0,1e-05,1e-05,-2e-05,0.00634,0.00727,0,0.01268,0.00727,-0.01995
"11",0.01,0,0,0,0,0.02309,0.02302,0,3e-05,2e-05,-5e-05,0.01155,0.01324,0,0.02309,0.01324,-0.03633
"12",0.011,0,0,0,0,0.03778,0.03766,0,6e-05,4e-05,-1e-04,0.0189,0.02166,0,0.0378,0.02166,-0.05945
"13",0.012,0,0,0,0,0.05698,0.05678,0,0.00011,6e-05,-0.00017,0.02851,0.03266,0,0.05702,0.03266,-0.08967
"14",0.013,0,0,0,0,0.08063,0.08033,0,0.00018,1e-04,-0.00028,0.04036,0.04622,-1e-05,0.08071,0.04621,-0.12692
"15",0.014,1e-05,1e-05,0,1e-05,0.10847,0.10804,0,0.00027,0.00016,-0.00043,0.05433,0.06218,-2e-05,0.10864,0.06216,-0.1708
"16",0.015,4e-05,4e-05,0,4e-05,0.14009,0.13951,0,4e-04,0.00023,-0.00062,0.07022,0.08032,-4e-05,0.1404,0.08028,-0.22068
"17",0.016,8e-05,8e-05,0,8e-05,0.17501,0.17424,0,0.00055,0.00032,-0.00087,0.08781,0.10036,-7e-05,0.17555,0.10029,-0.27584
"18",0.017,0.00017,0.00017,0,0.00017,0.21269,0.21172,1e-05,0.00075,0.00043,-0.00118,0.10685,0.12203,-0.00013,0.21357,0.1219,-0.33547
"19",0.018,0.00032,0.00032,0,0.00033,0.25263,0.25142,1e-05,0.00098,0.00056,-0.00154,0.1271,0.14501,-0.00022,0.25397,0.14479,-0.39876
"20",0.019,0.00058,0.00058,0,6e-04,0.2943,0.29283,2e-05,0.00126,0.00072,-0.00198,0.14832,0.16904,-0.00036,0.29627,0.16868,-0.46495
"21",0.02,0.00099,0.00099,0,0.00101,0.33725,0.3355,3e-05,0.00158,9e-04,-0.00247,0.1703,0.19387,-0.00057,0.34003,0.1933,-0.53333
"22",0.021,0.0016,0.0016,0,0.00164,0.38106,0.37901,4e-05,0.00194,0.0011,-0.00304,0.19286,0.21925,-0.00086,0.38485,0.2184,-0.60325
"23",0.022,0.00248,0.00247,0,0.00254,0.42535,0.42298,6e-05,0.00235,0.00134,-0.00368,0.21582,0.245,-0.00125,0.43038,0.24375,-0.67413
"24",0.023,0.00368,0.00367,0,0.00378,0.46979,0.46709,9e-05,0.0028,0.00159,-0.00439,0.23904,0.27093,-0.00178,0.47629,0.26915,-0.74545
"25",0.024,0.0053,0.00528,0,0.00544,0.51411,0.51107,0.00013,0.0033,0.00187,-0.00517,0.2624,0.2969,-0.00247,0.52233,0.29443,-0.81676
"26",0.025,0.0074,0.00737,0,0.0076,0.55807,0.55468,0.00019,0.00384,0.00218,-0.00602,0.2858,0.32278,-0.00335,0.56825,0.31943,-0.88768
"27",0.026,0.01006,0.01002,0,0.01034,0.60148,0.59773,0.00025,0.00443,0.00251,-0.00695,0.30915,0.34847,-0.00446,0.61385,0.34401,-0.95786
"28",0.027,0.01335,0.01329,0,0.01373,0.64416,0.64006,0.00034,0.00507,0.00287,-0.00794,0.33239,0.37388,-0.00582,0.65896,0.36806,-1.02702
"29",0.028,0.01735,0.01727,0,0.01786,0.68599,0.68153,0.00045,0.00575,0.00325,-0.009,0.35546,0.39893,-0.00747,0.70344,0.39146,-1.09489
"30",0.029,0.02211,0.02201,0,0.02279,0.72686,0.72204,0.00059,0.00648,0.00365,-0.01013,0.3783,0.42358,-0.00946,0.74715,0.41412,-1.16127
"31",0.03,0.0277,0.02758,0,0.02858,0.76669,0.76152,0.00075,0.00725,0.00408,-0.01132,0.4009,0.44779,-0.01182,0.78999,0.43597,-1.22596
"32",0.031,0.03417,0.03401,0,0.03529,0.80541,0.79989,0.00095,0.00806,0.00452,-0.01258,0.42323,0.47151,-0.01458,0.83187,0.45693,-1.28881
"33",0.032,0.04156,0.04136,0,0.04295,0.84298,0.83713,0.00119,0.00891,0.00499,-0.0139,0.44525,0.49473,-0.01778,0.87272,0.47694,-1.34966
"34",0.033,0.04989,0.04965,0,0.05162,0.87937,0.87318,0.00147,0.0098,0.00548,-0.01528,0.46697,0.51742,-0.02147,0.91246,0.49595,-1.40841
"35",0.034,0.05919,0.0589,1e-05,0.0613,0.91455,0.90805,0.0018,0.01073,0.00598,-0.01672,0.48836,0.53958,-0.02568,0.95104,0.5139,-1.46494
"36",0.035,0.06948,0.06912,1e-05,0.07203,0.94852,0.94171,0.00218,0.0117,0.0065,-0.01821,0.50943,0.5612,-0.03045,0.98841,0.53075,-1.51916
"37",0.036,0.08075,0.08033,1e-05,0.0838,0.98127,0.97418,0.00262,0.01271,0.00704,-0.01975,0.53017,0.58228,-0.03581,1.02452,0.54647,-1.571
"38",0.037,0.093,0.0925,2e-05,0.09661,1.01281,1.00545,0.00313,0.01375,0.0076,-0.02135,0.55057,0.60282,-0.04179,1.05936,0.56103,-1.62038
"39",0.038,0.10623,0.10565,3e-05,0.11046,1.04315,1.03554,0.0037,0.01483,0.00816,-0.02299,0.57065,0.62281,-0.04843,1.09287,0.57439,-1.66726
"40",0.039,0.1204,0.11973,4e-05,0.12533,1.07231,1.06446,0.00435,0.01594,0.00875,-0.02468,0.5904,0.64228,-0.05575,1.12505,0.58653,-1.71158
"41",0.04,0.1355,0.13473,5e-05,0.14119,1.10031,1.09224,0.00507,0.01708,0.00934,-0.02642,0.60982,0.66122,-0.06379,1.15586,0.59743,-1.75329
"42",0.041,0.15149,0.15061,6e-05,0.15801,1.12717,1.11891,0.00588,0.01825,0.00994,-0.02819,0.62892,0.67964,-0.07255,1.18529,0.60709,-1.79238
"43",0.042,0.16833,0.16734,8e-05,0.17577,1.15292,1.14448,0.00678,0.01945,0.01055,-0.03,0.64771,0.69756,-0.08208,1.21333,0.61548,-1.82881
"44",0.043,0.18599,0.18488,0.00011,0.19441,1.17757,1.16898,0.00778,0.02068,0.01117,-0.03185,0.66618,0.71498,-0.09238,1.23997,0.6226,-1.86257
"45",0.044,0.20442,0.20318,0.00014,0.21391,1.20117,1.19245,0.00887,0.02193,0.0118,-0.03372,0.68433,0.73191,-0.10346,1.26521,0.62844,-1.89365
"46",0.045,0.22357,0.2222,0.00017,0.2342,1.22374,1.21492,0.01007,0.02321,0.01243,-0.03563,0.70219,0.74836,-0.11534,1.28903,0.63302,-1.92205
"47",0.046,0.2434,0.24188,0.00022,0.25525,1.24531,1.2364,0.01138,0.02451,0.01306,-0.03757,0.71974,0.76435,-0.12803,1.31144,0.63632,-1.94776
"48",0.047,0.26385,0.26219,0.00027,0.27699,1.26591,1.25694,0.0128,0.02583,0.0137,-0.03953,0.73699,0.77988,-0.14152,1.33245,0.63835,-1.9708
"49",0.048,0.28487,0.28306,0.00033,0.2994,1.28557,1.27656,0.01433,0.02717,0.01434,-0.04151,0.75394,0.79496,-0.15582,1.35206,0.63914,-1.9912
